"_id","ability_1","ability_2","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fight","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","atk","catch_rate","category","chinese_name","defense","english_name","exp_100","generation","hatch_time","height_m","hp","image_url","male_ratio","spatk","spdef","speed","total","type_1","type_2","weight_kg"
"001","茂盛","叶绿素隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","49","5.9%","种子宝可梦","妙蛙种子","49","Bulbasaur","1,059,860","第一世代寶可夢","5140步","0.7","45","https://media.52poke.com/wiki/thumb/2/21/001Bulbasaur.png/600px-001Bulbasaur.png","87.5%","65","65","45","318","草","毒","6.9"
"002","茂盛","叶绿素隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","2","2","1","1⁄4","1","2","1","1","2","1","1","1⁄2","62","5.9%","种子宝可梦","妙蛙草","63","Ivysaur","1,059,860","第一世代寶可夢","5140步","1.0","60","https://media.52poke.com/wiki/thumb/7/73/002Ivysaur.png/600px-002Ivysaur.png","87.5%","80","80","60","405","草","毒","3.0"
"003","茂盛","叶绿素隱藏特性","1","1","1","1⁄2","1⁄2","1⁄2","1","2","1","1⁄4","1","1","1","1","2","1","1","1⁄2","82","5.9%","种子宝可梦","妙蛙花","83","Venusaur","1,059,860","第一世代寶可夢","5140步","2.0","80","https://media.52poke.com/wiki/thumb/a/ae/003Venusaur.png/600px-003Venusaur.png","87.5%","100","100","80","525","草","毒","100"
"004","猛火","太阳之力隱藏特性","1⁄2","1","1","1","1⁄2","1","1⁄2","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","52","5.9%","蜥蜴宝可梦","小火龙","43","Charmander","1,059,860","第一世代寶可夢","5140步","0.6","39","https://media.52poke.com/wiki/thumb/7/73/004Charmander.png/600px-004Charmander.png","87.5%","60","50","65","309","火",,"8.5"
"005","猛火","太阳之力隱藏特性","1⁄2","1","1","1","1⁄2","1","1⁄2","1","1","1⁄2","2","1⁄2","1","1","1","2","1⁄2","2","64","5.9%","火焰宝可梦","火恐龙","58","Charmeleon","1,059,860","第一世代寶可夢","5140步","1.1","58","https://media.52poke.com/wiki/4/4a/005Charmeleon.png","87.5%","80","65","80","405","火",,"9.0"
"006","猛火","太阳之力隱藏特性","1⁄2","1","2","1⁄2","1","1","1⁄4","1","1","1⁄4","2","1","1","1","1","2","1⁄2","1","84","5.9%","火焰宝可梦","喷火龙","78","Charizard","1,059,860","第一世代寶可夢","5140步","1.7","78","https://media.52poke.com/wiki/thumb/7/7e/006Charizard.png/600px-006Charizard.png","87.5%","109","85","100","534","火","飞行","0.5"
"007","激流","雨盘隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","48","5.9%","小龟宝可梦","杰尼龟","65","Squirtle","1,059,860","第一世代寶可夢","5140步","0.5","44","https://media.52poke.com/wiki/thumb/3/39/007Squirtle.png/600px-007Squirtle.png","87.5%","50","64","43","314","水",,"9.0"
"008","激流","雨盘隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","63","5.9%","龟宝可梦","卡咪龟","80","Wartortle","1,059,860","第一世代寶可夢","5140步","1.0","59","https://media.52poke.com/wiki/0/0c/008Wartortle.png","87.5%","65","80","58","405","水",,"2.5"
"009","激流","雨盘隱藏特性","1","1","1","2","1","1","1⁄2","1","1","2","1","1⁄2","1","1","1","1","1⁄2","1⁄2","83","5.9%","甲壳宝可梦","水箭龟","100","Blastoise","1,059,860","第一世代寶可夢","5140步","1.6","79","https://media.52poke.com/wiki/thumb/0/02/009Blastoise.png/600px-009Blastoise.png","87.5%","85","105","78","530","水",,"5.5"
"010","鳞粉","逃跑隱藏特性","1","1","1","1","1","1⁄2","2","2","1","1⁄2","1⁄2","1","1","1","1","2","1","1","30","33.3%","虫宝宝宝可梦","绿毛虫","35","Caterpie","1,000,000","第一世代寶可夢","3855步","0.3","45","https://media.52poke.com/wiki/5/5d/010Caterpie.png","50%","20","20","45","195","虫",,"2.9"
"011","蜕皮",,"1","1","1","1","1","1⁄2","2","2","1","1⁄2","1⁄2","1","1","1","1","2","1","1","20","15.7%","蛹宝可梦","铁甲蛹","55","Metapod","1,000,000","第一世代寶可夢","3855步","0.7","50","https://media.52poke.com/wiki/thumb/c/cd/011Metapod.png/600px-011Metapod.png","50%","25","25","30","205","虫",,"9.9"
"012","复眼","有色眼镜隱藏特性","1⁄2","1","1","2","1","1⁄4","2","2","1","1⁄4","0","2","1","1","1","4","1","1","45","5.9%","蝴蝶宝可梦","巴大蝶","50","Butterfree","1,000,000","第一世代寶可夢","3855步","1.1","60","https://media.52poke.com/wiki/thumb/d/d1/012Butterfree.png/600px-012Butterfree.png","50%","90","80","70","395","虫","飞行","2.0"
"013","鳞粉","逃跑隱藏特性","1⁄2","1","1","1","1⁄2","1⁄4","2","2","1","1⁄4","1","1","1","1⁄2","2","2","1","1","35","33.3%","毛毛虫宝可梦","独角虫","30","Weedle","1,000,000","第一世代寶可夢","3855步","0.3","40","https://media.52poke.com/wiki/thumb/d/df/013Weedle.png/600px-013Weedle.png","50%","20","20","50","195","虫","毒","3.2"
"014","蜕皮",,"1⁄2","1","1","1","1⁄2","1⁄4","2","2","1","1⁄4","1","1","1","1⁄2","2","2","1","1","25","15.7%","蛹宝可梦","铁壳蛹","50","Kakuna","1,000,000","第一世代寶可夢","3855步","0.6","45","https://media.52poke.com/wiki/f/f0/014Kakuna.png","50%","25","25","35","205","虫","毒","0.0"
"015","虫之预感","狙击手隱藏特性","1⁄2","1","1","1","1⁄2","1⁄4","2","2","1","1⁄4","1","1","1","1⁄2","2","2","1","1","90","5.9%","毒蜂宝可梦","大针蜂","40","Beedrill","1,000,000","第一世代寶可夢","3855步","1.0","65","https://media.52poke.com/wiki/thumb/6/61/015Beedrill.png/600px-015Beedrill.png","50%","45","80","75","395","虫","毒","9.5"
"016","锐利目光 或 蹒跚","健壮胸肌隱藏特性","1⁄2","1","1","2","1","1","1","1","0","1⁄2","0","2","1","1","1","2","1","1","45","33.3%","小鸟宝可梦","波波","40","Pidgey","1,059,860","第一世代寶可夢","3855步","0.3","40","https://media.52poke.com/wiki/thumb/5/55/016Pidgey.png/600px-016Pidgey.png","50%","35","35","56","251","一般","飞行","1.8"
"017","锐利目光 或 蹒跚","健壮胸肌隱藏特性","1⁄2","1","1","2","1","1","1","1","0","1⁄2","0","2","1","1","1","2","1","1","60","15.7%","鸟宝可梦","比比鸟","55","Pidgeotto","1,059,860","第一世代寶可夢","3855步","1.1","63","https://media.52poke.com/wiki/thumb/7/7a/017Pidgeotto.png/600px-017Pidgeotto.png","50%","50","50","71","349","一般","飞行","0.0"
"018","锐利目光 或 蹒跚","健壮胸肌隱藏特性","1⁄2","1","1","2","1","1","1","1","0","1⁄2","0","2","1","1","1","2","1","1","80","5.9%","鸟宝可梦","大比鸟","75","Pidgeot","1,059,860","第一世代寶可夢","3855步","1.5","83","https://media.52poke.com/wiki/thumb/5/57/018Pidgeot.png/600px-018Pidgeot.png","50%","70","70","101","479","一般","飞行","9.5"
"019","逃跑 或 毅力","活力隱藏特性","1","1","1","1","1","2","1","1","0","1","1","1","1","1","1","1","1","1","56","33.3%","鼠宝可梦","小拉达","35","Rattata","1,000,000","第一世代寶可夢","3855步","0.3","30","https://media.52poke.com/wiki/thumb/4/46/019Rattata.png/600px-019Rattata.png","50%","25","35","72","253","一般",,"3.5"
