pokedex,name,japanese_name,chinese-name,classfication,type1,type2,abilities,percentage_male,height_m,weight_kg,base_total,hp,attack,defense,sp_attack,sp_defense,speed,base_happiness,capture_rate,generation,is_legendary,base_egg_steps,experience_growth,against_normal,against_fight,against_flying,against_poison,against_ground,against_rock,against_bug,against_ghost,against_steel,against_fire,against_water,against_grass,against_electric,against_psychic,against_ice,against_dragon,against_dark,against_fairy,img_url
1,Bulbasaur,Fushigidane閵夋洏鍋￠妶鍎夐妷,濡欒洐绋瓙 / 濡欒洐绉嶅瓙Mi脿ow膩zh菕ngz菒,Seed Pok鑼卪on,grass,poison,"['Overgrow', 'Chlorophyll']",88.1,0.7,6.9,318,45,49,49,65,65,45,70.0,45,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/2/21/001Bulbasaur.png/600px-001Bulbasaur.png
2,Ivysaur,Fushigisou閵夋洏鍋￠妶鍋ㄩ妶,濡欒洐鑽 / 濡欒洐鑽塎i脿ow膩c菐o,Seed Pok鑼卪on,grass,poison,"['Overgrow', 'Chlorophyll']",88.1,1.0,13.0,405,60,62,63,80,80,60,70.0,45,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/7/73/002Ivysaur.png/600px-002Ivysaur.png
3,Venusaur,Fushigibana閵夋洏鍋￠妶鍎涢妷,濡欒洐鑺 / 濡欒洐鑺盡i脿ow膩hu膩,Seed Pok鑼卪on,grass,poison,"['Overgrow', 'Chlorophyll']",88.1,2.0,100.0,625,80,100,123,122,120,80,70.0,45,1,0,5120,1059860,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.25,0.5,2.0,2.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/a/ae/003Venusaur.png/600px-003Venusaur.png
4,Charmander,Hitokage閵夋帇鍎撻妶鍋,灏忕伀榫 / 灏忕伀榫橷i菐ohu菕l贸ng,Lizard Pok鑼卪on,fire,,"['Blaze', 'Solar Power']",88.1,0.6,8.5,309,39,52,43,60,50,65,70.0,45,1,0,5120,1059860,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/7/73/004Charmander.png/600px-004Charmander.png
5,Charmeleon,Lizardo閵夊仩閵夌鍎,鐏亹榫 / 鐏亹榫橦u菕k菕ngl贸ng,Flame Pok鑼卪on,fire,,"['Blaze', 'Solar Power']",88.1,1.1,19.0,405,58,64,58,80,65,80,70.0,45,1,0,5120,1059860,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,https://media.52poke.com/wiki/4/4a/005Charmeleon.png
6,Charizard,Lizardon閵夊仩閵夌鍎旈妷,鍣寸伀榫 / 鍠风伀榫橮膿nhu菕l贸ng,Flame Pok鑼卪on,fire,flying,"['Blaze', 'Solar Power']",88.1,1.7,90.5,634,78,104,78,159,115,100,70.0,45,1,0,5120,1059860,1.0,0.5,1.0,1.0,0.0,4.0,0.25,1.0,0.5,0.5,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,https://media.52poke.com/wiki/thumb/7/7e/006Charizard.png/600px-006Charizard.png
7,Squirtle,Zenigame閵堢鍎栭妶鍎,鍌戝凹榫 / 鏉板凹榫烰i茅n铆gu墨,Tiny Turtle Pok鑼卪on,water,,"['Torrent', 'Rain Dish']",88.1,0.5,9.0,314,44,48,65,50,64,43,70.0,45,1,0,5120,1059860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/3/39/007Squirtle.png/600px-007Squirtle.png
8,Wartortle,Kameil閵堝劖閵夌鍎,鍗″挭榫 / 鍗″挭榫烱菐m墨gu墨,Turtle Pok鑼卪on,water,,"['Torrent', 'Rain Dish']",88.1,1.0,22.5,405,59,63,80,65,80,58,70.0,45,1,0,5120,1059860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/0/0c/008Wartortle.png
9,Blastoise,Kamex閵堝劖閵夊啨鍋楅妶,姘寸榫 / 姘寸榫烻hu菒ji脿ngu墨,Shellfish Pok鑼卪on,water,,"['Torrent', 'Rain Dish']",88.1,1.6,85.5,630,79,103,120,135,115,78,70.0,45,1,0,5120,1059860,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/0/02/009Blastoise.png/600px-009Blastoise.png
10,Caterpie,Caterpie閵堝劘閵堣￥鍎熼妷,缍犳瘺锜 / 缁挎瘺铏獿菧m谩och贸ng,Worm Pok鑼卪on,bug,,"['Shield Dust', 'Run Away']",50.0,0.3,2.9,195,45,30,35,20,20,45,70.0,255,1,0,3840,1000000,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/5/5d/010Caterpie.png
11,Metapod,Transel閵夊牄鍎甸妷鐐藉仸閵,閻电敳铔 / 閾佺敳铔筎i臎ji菐y菕ng,Cocoon Pok鑼卪on,bug,,['Shed Skin'],50.0,0.7,9.9,205,50,20,55,25,25,30,70.0,120,1,0,3840,1000000,1.0,0.5,2.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,https://media.52poke.com/wiki/thumb/c/cd/011Metapod.png/600px-011Metapod.png
